Unnamed: 0,Account Name,DBA,City,State,County,Business License App Category Name,Expire Date,Latitude,Longitude,Zip Code,Year,name,synonyms,street_address,city,state,zip,long,lat
18.0,Beauty Spa for Paws LLC,,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9995058,-104.9502359,80602.0,2024.0,,,,,,,,
19.0,Black Ops Rescue,,Northglenn,CO,ADAMS,Pet Animal Small Rescue,3/2/2026,39.8961821,-104.9811468,,2024.0,,,,,,,,
20.0,Brianna A Dickson,Classy Pawz,Commerce City,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8083196,-104.9338675,,2024.0,,,,,,,,
21.0,Brighton Car Wash and Detail,,Brighton,CO,ADAMS,Pet Grooming Facility - Self Wash Facility,3/2/2026,39.9754029,-104.8285837,80601.0,2024.0,,,,,,,,
22.0,BZ Dog Training LLC,,Thornton,CO,ADAMS,Pet Handler,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
23.0,"Calae's Pet Resort, LLC",,Brighton,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.9878492,-104.8835417,80602.0,2024.0,,,,,,,,
24.0,"Calae's Pet Resort, LLC",,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9878492,-104.8835417,80602.0,2024.0,,,,,,,,
25.0,Calvert Dog Academy,,Denver,CO,ADAMS,Pet Handler,3/2/2026,39.8187468,-105.0095129,80221.0,2024.0,,,,,,,,
26.0,Caring 4 Paws LLC,,Westminster,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.8366528,-105.0372046,,2024.0,,,,,,,,
27.0,City of Aurora Animal Shelter,,Aurora,CO,ADAMS,Pet Animal Large Shelter,3/2/2026,39.7612667,-104.8042062,80011.0,2024.0,,,,,,,,
28.0,City of Aurora Animal Shelter,,Aurora,CO,ADAMS,Bird Band,3/2/2026,39.7612667,-104.8042062,80011.0,2024.0,,,,,,,,
29.0,CityVet Westminster,CityVet Westminster + Urgent Care,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8837904,-105.027455,80260.0,2024.0,,,,,,,,
30.0,CLAWA Animal Rescue,,Thornton,CO,ADAMS,Pet Animal Large Rescue,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
31.0,Clear Water Reptiles LLC,Scales 'N Tails,Northglenn,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.8961821,-104.9811468,,2024.0,,,,,,,,
32.0,Clear Water Reptiles LLC,Scales 'N Tails,Northglenn,CO,ADAMS,Reptile / Amphibian Breeder,3/2/2026,39.8961821,-104.9811468,,2024.0,,,,,,,,
33.0,Clear Water Reptiles LLC,Scales 'N Tails,Northglenn,CO,ADAMS,Pet Animal Small Shelter,3/2/2026,39.8961821,-104.9811468,,2024.0,,,,,,,,
34.0,Clovers Car Wash Inc.,Clover?s Car & Dog Wash,Thornton,CO,ADAMS,Pet Grooming Facility - Self Wash Facility,3/2/2026,39.9289538,-104.9820223,80241.0,2024.0,,,,,,,,
35.0,"Club Pet DIA, Inc",,Aurora,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.74963,-104.79053,80011.0,2024.0,,,,,,,,
36.0,"Club Pet DIA, Inc",,Aurora,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.74963,-104.79053,80011.0,2024.0,,,,,,,,
37.0,"Colorado Beagle Rescue, Inc.",,Westminster,CO,ADAMS,Pet Animal Small Rescue,3/2/2026,39.8366528,-105.0372046,,2024.0,,,,,,,,
38.0,Colorado Corgis and Friends,,Henderson,CO,ADAMS,Pet Animal Large Rescue,3/2/2026,39.8943663,-104.8783226,80640.0,2024.0,,,,,,,,
39.0,Complete Canine (K9) Training,,Brighton,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.9901543,-104.7932119,80601.0,2024.0,,,,,,,,
40.0,Corgibutt Grooming,Corgibutt Grooming,Englewood,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.6477653,-104.9877597,,2024.0,,,,,,,,
41.0,Courtney C. Clow,,Brighton,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
42.0,Crestie King,Crestie King,Denver,CO,ADAMS,Reptile / Amphibian Breeder,3/2/2026,39.7548575,-105.0331086,,2024.0,,,,,,,,
43.0,CV DEN0046 Thornton LLC,CityVet - Thornton,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8635118,-105.0013495,80260.0,2024.0,,,,,,,,
44.0,"Dancing Dog Rescue and Recovery Ranch, Inc.",,Commerce City,CO,ADAMS,Pet Animal Large Rescue,3/2/2026,39.8083196,-104.9338675,,2024.0,,,,,,,,
45.0,David Beattie,,Watkins,CO,ADAMS,Pet Transporter,3/2/2026,39.7435442,-104.6080353,80137.0,2024.0,,,,,,,,
46.0,Dawg Gon'It Grooming LLC,Dawg Gon'It Grooming LLC,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
47.0,Dayna VanSickle,303D.O.G.,Brighton,CO,ADAMS,Pet Grooming Facility - Secondary Facility Owner,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
48.0,DD & S Family Inc.,Reef Encounters,Thornton,CO,ADAMS,Aquarium Only,3/2/2026,39.855178,-104.9787239,80229.0,2024.0,,,,,,,,
49.0,Debbie Grace,Debbie Grace,Westminister,CO,ADAMS,Pet Transporter,3/2/2026,39.8366528,-105.0372046,,2024.0,,,,,,,,
50.0,Deez Muttz LLC,,Brighton,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
51.0,Dionne L DiPentima,,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
52.0,Dna Slithers & Critters,,Federal Heights,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.8624618,-105.0241516,80260.0,2024.0,,,,,,,,
53.0,Dna Slithers & Critters,,Federal Heights,CO,ADAMS,Small Animal Breeder,3/2/2026,39.8624618,-105.0241516,80260.0,2024.0,,,,,,,,
54.0,DoggEdayz,,Westminster,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.8421745,-105.0522689,80030.0,2024.0,,,,,,,,
55.0,DoggEdayz,,Westminster,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.8421745,-105.0522689,80030.0,2024.0,,,,,,,,
56.0,Doggie Do's,Doggie-Do's,Westminster,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.8366528,-105.0372046,,2024.0,,,,,,,,
57.0,Doodle Me This LLC,,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8728778,-105.0348162,80031.0,2024.0,,,,,,,,
58.0,El Dogo Pet grooming,El Dogo Pet Grooming,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8806831,-105.0306676,80031.0,2024.0,,,,,,,,
59.0,Elite Reef LLC,,Denver,CO,ADAMS,Aquarium Only,3/2/2026,39.8124972,-104.9855889,80221.0,2024.0,,,,,,,,
60.0,Feeder Frenzy Ltd.,Feeder Frenzy Reptiles,Arvada,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.8193475,-105.0528611,80003.0,2024.0,,,,,,,,
61.0,Feeder Frenzy Ltd.,Feeder Frenzy Reptiles,Arvada,CO,ADAMS,Reptile / Amphibian Breeder,3/2/2026,39.8193475,-105.0528611,80003.0,2024.0,,,,,,,,
62.0,Feeder Frenzy Ltd.,Feeder Frenzy Reptiles,Arvada,CO,ADAMS,Small Animal Breeder,3/2/2026,39.8193475,-105.0528611,80003.0,2024.0,,,,,,,,
63.0,Furry Tails LLC,Furry Tail Pet Grooming,Thornton,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
64.0,Furtastic Mobile Grooming,,Denver,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.6884999,-104.988415,80223.0,2024.0,,,,,,,,
65.0,Furzzaflyin Pet Salon,,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9164419,-104.9409524,80233.0,2024.0,,,,,,,,
66.0,Golden Grooming LLC,Zoomin Groomin,Denver,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.7408416,-104.986019,80121.0,2024.0,,,,,,,,
67.0,Golden Grooms LLC,,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
68.0,Groombuggy Inc,Barkbus,Denver,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.77620599999999,-105.0150595,80211.0,2024.0,,,,,,,,
69.0,Grooming by Solange,,Thornton,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
70.0,Groomingdale Pet Spa LLC,,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
71.0,Hannah Raymond,Shag Professional Pet Grooming,Denver,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.7890162,-104.852997,80239.0,2024.0,,,,,,,,
72.0,Hermosa Veterinary Clinic,,Denver,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.7957,-105.0257091,80221.0,2024.0,,,,,,,,
73.0,Hoffman Unlimited LLC,Pet Supplies Plus,Thornton,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.8621027,-104.9709187,80229.0,2024.0,,,,,,,,
74.0,Hoffman Unlimited LLC,Pet Supplies Plus,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8621027,-104.9709187,80229.0,2024.0,,,,,,,,
75.0,In Good Paws Dog Training LLC,,Thornton,CO,ADAMS,Pet Handler,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
76.0,Iridian Ramos,Barkin Barbers,Commerce City,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.8083196,-104.9338675,,2024.0,,,,,,,,
77.0,Jennifer Green,Dogtopia,Federal Heights,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.8598956,-105.0160712,,2024.0,,,,,,,,
78.0,Johnny Wallace,House of Slithering,Denver,CO,ADAMS,Reptile / Amphibian Breeder,3/2/2026,39.6339536,-104.8942169,80237.0,2024.0,,,,,,,,
79.0,Johnny Wallace,House of Slithering,Denver,CO,ADAMS,Small Animal Breeder,3/2/2026,39.6339536,-104.8942169,80237.0,2024.0,,,,,,,,
80.0,Journey K9 LLC,,Westminster,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.8366528,-105.0372046,,2024.0,,,,,,,,
81.0,JW Pet Care LLC,,Commerce City,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.7975184,-104.9137678,80022.0,2024.0,,,,,,,,
82.0,JW Pet Care LLC,,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8366528,-105.0372046,,2024.0,,,,,,,,
83.0,Katherine Wilson,,Broomfield,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.9205411,-105.0866504,,2024.0,,,,,,,,
84.0,Kindness Matters LLC,Kindness Matters Dog Boutique,Broomfield,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.9838749,-105.1316683,80027.0,2024.0,,,,,,,,
85.0,Kristen R. Stanley,Kris's Kids Pet Grooming,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8275292,-105.0209422,80030.0,2024.0,,,,,,,,
86.0,Lifeline Puppy Rescue,,Brighton,CO,ADAMS,Pet Animal Small Shelter,3/2/2026,39.971998,-104.8546056,80602.0,2024.0,,,,,,,,
87.0,Living Springs Veterinary Care LLC,Living Springs Vet Care Boarding and Daycare Pet Spa,Bennett,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.7574213,-104.4231383,80102.0,2024.0,,,,,,,,
88.0,Living Springs Veterinary Care LLC,Living Springs Vet Care Boarding and Daycare Pet Spa,Bennett,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.7574213,-104.4231383,80102.0,2024.0,,,,,,,,
89.0,Lizbeth Bueno,Groomingdale's Pet Grooming,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
90.0,Loves Beautiful Bitches LLC,Groomingdales,Thornton,CO,ADAMS,Pet Grooming Facility - Secondary Facility Owner,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
91.0,Maine Coon Maniacs,,Brighton,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.981138,-104.6427515,80603.0,2024.0,,,,,,,,
92.0,Marc Sherman,About Fish,Westminster,CO,ADAMS,Aquarium Only,3/2/2026,39.8366528,-105.0372046,,2024.0,,,,,,,,
93.0,Marisa Salazar,Dog groomer,Westminster,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.8366528,-105.0372046,,2024.0,,,,,,,,
94.0,Maw & Paw Pet Market LLC,,Aurora,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.7476309,-104.8768795,80010.0,2024.0,,,,,,,,
95.0,Melinda L. Green,Green Valley Kennel Colorado,Byers,CO,ADAMS,Small Scale Dog Breeder,3/2/2026,39.5500507,-105.7820674,,2024.0,,,,,,,,
96.0,"Mile High Parrot Supply, LLC",,Strasburg,CO,ADAMS,Bird Breeder,3/2/2026,39.7493104,-104.3187599,80136.0,2024.0,,,,,,,,
97.0,"Mile High Parrot Supply, LLC",,Strasburg,CO,ADAMS,Pet Animal Small Shelter,3/2/2026,39.7493104,-104.3187599,80136.0,2024.0,,,,,,,,
98.0,"Mile High Parrot Supply, LLC",,Strasburg,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.7493104,-104.3187599,80136.0,2024.0,,,,,,,,
99.0,"Mile High Parrot Supply, LLC",,Strasburg,CO,ADAMS,Bird Band,3/2/2026,39.7493104,-104.3187599,80136.0,2024.0,,,,,,,,
100.0,Mile High Weimaraner Rescue,,Commerce City,CO,ADAMS,Pet Animal Small Rescue,3/2/2026,39.8083196,-104.9338675,,2024.0,,,,,,,,
101.0,Misfit Mutts LLC,,Brighton,CO,ADAMS,Pet Grooming Facility - Secondary Facility Owner,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
102.0,Mystic Grooming,,Brighton,CO,ADAMS,Pet Grooming Facility - Secondary Facility Owner,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
103.0,Nicole Lynn Clark,Over the Top Pet Salon,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9827411,-104.7997283,80601.0,2024.0,,,,,,,,
104.0,Oleg A. Vdovich,Mirabell Bengals,Commerce City,CO,ADAMS,Cat Breeder,3/2/2026,39.8582835,-104.9093673,80640.0,2024.0,,,,,,,,
105.0,Pathway Vet Alliance LLC,Eastlake Veterinary Services,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
106.0,Patricia L. Lauterbach,Paws Pet Grooming,Northglenn,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8961821,-104.9811468,,2024.0,,,,,,,,
107.0,Pawprints Pet Rescue,Pawprints Pet Rescue,Keenesburg,CO,ADAMS,Pet Animal Small Rescue,3/2/2026,40.1083158,-104.5199585,80643.0,2024.0,,,,,,,,
108.0,Pawsitively Heaven Dog Spa LLC,,Brighton,CO,ADAMS,Pet Grooming Facility - Mobile Groomer,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
109.0,People's Pups Grooming LLC,,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9631007,-104.9920286,80023.0,2024.0,,,,,,,,
110.0,Perros Y Gatos Pet Grooming LLC,Perros Y Gatos Pet Grooming,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.84203050000001,-105.0497808,80030.0,2024.0,,,,,,,,
111.0,"Petco Animal Supplies Store, Inc",,Aurora,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.7294319,-104.8319195,,2024.0,,,,,,,,
112.0,"Petco Animal Supplies Store, Inc",,Aurora,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.7294319,-104.8319195,,2024.0,,,,,,,,
113.0,"Petco Animal Supplies Store, Inc",Petco - #0920,Northglenn,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.8961821,-104.9811468,,2024.0,,,,,,,,
114.0,"Petco Animal Supplies Store, Inc",Petco - #0920,Northglenn,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8961821,-104.9811468,,2024.0,,,,,,,,
115.0,"Petco Animal Supplies Stores, Inc.",Petco #2482,Westminster,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.8571266,-105.0724551,80031.0,2024.0,,,,,,,,
116.0,"Petco Animal Supplies Stores, Inc.",Petco #2482,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8571266,-105.0724551,80031.0,2024.0,,,,,,,,
117.0,"PetSmart, Inc.",PetSmart - 253,Northglenn,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.88794499999999,-104.9926469,80234.0,2024.0,,,,,,,,
118.0,"PetSmart, Inc.",PetSmart - 253,Northglenn,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.88794499999999,-104.9926469,80234.0,2024.0,,,,,,,,
119.0,"PetSmart, Inc.",PetSmart - 253,Northglenn,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.88794499999999,-104.9926469,80234.0,2024.0,,,,,,,,
120.0,"PetSmart, Inc.",PetSmart #2725,Westminster,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.8896001,-105.0753599,80021.0,2024.0,,,,,,,,
121.0,"PetSmart, Inc.",PetSmart #2725,Westminster,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.8896001,-105.0753599,80021.0,2024.0,,,,,,,,
122.0,"PetSmart, Inc.",PetSmart #2725,Westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8896001,-105.0753599,80021.0,2024.0,,,,,,,,
123.0,"Petsmart, Inc.",PetSmart - 1343,Thornton,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
124.0,"Petsmart, Inc.",PetSmart - 1343,Thornton,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
125.0,"Petsmart, Inc.",PetSmart - 1343,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
126.0,"Petsmart, Inc.",PetSmart - 1855,Brighton,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.9517417,-104.7854694,80601.0,2024.0,,,,,,,,
127.0,"Petsmart, Inc.",PetSmart - 1855,Brighton,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.9517417,-104.7854694,80601.0,2024.0,,,,,,,,
128.0,"Petsmart, Inc.",PetSmart - 1855,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9517417,-104.7854694,80601.0,2024.0,,,,,,,,
129.0,"PETSuites of America, LLC",City Bark,Thornton,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.9428964,-104.9847163,80241.0,2024.0,,,,,,,,
130.0,"PETSuites of America, LLC",City Bark,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9428964,-104.9847163,80241.0,2024.0,,,,,,,,
131.0,PetVet Operating LLC,Caring Hands Veterinary Hospital,Thornton,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
132.0,PetVet Operating LLC,Caring Hands Veterinary Hospital,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
133.0,Poodles N Doodles Pet Grooming LLC,,Brighton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9833064,-104.8221217,80601.0,2024.0,,,,,,,,
134.0,Rafael A Leon,Mundo del Perico,Aurora,CO,ADAMS,Retail / Wholesale of Pet Animals,3/2/2026,39.7294319,-104.8319195,,2024.0,,,,,,,,
135.0,Raiana Lopez,,Thornton,CO,ADAMS,Independent Contractor (IC) Pet Groomer,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
136.0,Rays Tank LLC,,Northglenn,CO,ADAMS,Aquarium Only,3/2/2026,39.8897406,-104.9940357,80234.0,2024.0,,,,,,,,
137.0,Rocky Mountain Puppy Rescue,,Thornton,CO,ADAMS,Pet Animal Large Rescue,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
138.0,Rustic Paw Grooming LLC,Groomer,Brighton,CO,ADAMS,Pet Grooming Facility - Secondary Facility Owner,3/2/2026,39.9833064,-104.8221217,80601.0,2024.0,,,,,,,,
139.0,Shampooch Grooming LLC,,Brighton,CO,ADAMS,Pet Grooming Facility - Secondary Facility Owner,3/2/2026,39.9833064,-104.8221217,80601.0,2024.0,,,,,,,,
140.0,Shara L Ashmore,Groomingdales,Thornton,CO,ADAMS,Pet Grooming Facility - Secondary Facility Owner,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
141.0,Sit Happens Dog Training Denver LLC,,Thornton,CO,ADAMS,Pet Handler,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
142.0,Spawlash Pet Salon LLC,,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9019151,-104.9801803,80233.0,2024.0,,,,,,,,
143.0,Spawlash Pet Salon LLC,,Thornton,CO,ADAMS,Pet Grooming Facility - Self Wash Facility,3/2/2026,39.9019151,-104.9801803,80233.0,2024.0,,,,,,,,
144.0,Special Needs Animal Rescue League,,Thornton,CO,ADAMS,Pet Animal Small Rescue,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
145.0,St. Mark Inc.,Pets R Us Animal Hospital Commerce City,Commerce City,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.8083196,-104.9338675,,2024.0,,,,,,,,
146.0,Susan Daniels,Barkin Barbers,westminster,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8250119,-105.0435126,80030.0,2024.0,,,,,,,,
147.0,TacoDogs LLC,Adorable Dog Grooming,Thornton,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.8680412,-104.9719243,,2024.0,,,,,,,,
148.0,Tail Waggin LLC,,Hudson,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.9404431,-104.4812559,80102.0,2024.0,,,,,,,,
149.0,Tail Waggin LLC,,Hudson,CO,ADAMS,Pet Grooming Facility - Primary Facility Owner,3/2/2026,39.9404431,-104.4812559,80102.0,2024.0,,,,,,,,
150.0,The Connected Canine,,Brighton,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.9852617,-104.8205283,,2024.0,,,,,,,,
151.0,The Feline Fix,Divine Feline,Commerce City,CO,ADAMS,Pet Animal Large Rescue,3/2/2026,39.8076062,-104.9299851,80022.0,2024.0,,,,,,,,
152.0,"The Four Legged Inn, Inc.",,Bennett,CO,ADAMS,Pet Boarding and/or Training,3/2/2026,39.7869266,-104.4877269,80102.0,2024.0,,,,,,,,
